relpath,changed_lines_normalized,kind
flags/backgrounds/flag_BG_20.dds,0,identical
flags/backgrounds/flag_BG_21.dds,0,identical
flags/backgrounds/flag_BG_24.dds,0,identical
flags/backgrounds/flag_BG_26.dds,0,identical
flags/backgrounds/flag_BG_27.dds,0,identical
flags/backgrounds/flag_BG_28.dds,0,identical
flags/backgrounds/flag_BG_29.dds,0,identical
flags/backgrounds/flag_BG_3.dds,0,identical
flags/backgrounds/flag_BG_31.dds,0,identical
flags/backgrounds/flag_BG_32.dds,0,identical
flags/backgrounds/flag_BG_34.dds,0,identical
flags/backgrounds/flag_BG_35.dds,0,identical
flags/backgrounds/flag_BG_36.dds,0,identical
flags/backgrounds/flag_BG_37.dds,0,identical
flags/backgrounds/flag_BG_38.dds,0,identical
flags/backgrounds/flag_BG_39.dds,0,identical
flags/backgrounds/flag_BG_4.dds,0,identical
flags/backgrounds/flag_BG_40.dds,0,identical
flags/backgrounds/flag_BG_41.dds,0,identical
flags/backgrounds/flag_BG_42.dds,0,identical
flags/backgrounds/flag_BG_43.dds,0,identical
flags/backgrounds/flag_BG_45.dds,0,identical
flags/backgrounds/flag_BG_48.dds,0,identical
flags/backgrounds/flag_BG_49.dds,0,identical
flags/backgrounds/flag_BG_5.dds,0,identical
flags/backgrounds/flag_BG_50.dds,0,identical
flags/backgrounds/flag_BG_51.dds,0,identical
flags/backgrounds/flag_BG_52.dds,0,identical
flags/backgrounds/flag_BG_53.dds,0,identical
flags/backgrounds/flag_BG_54.dds,0,identical
flags/backgrounds/flag_BG_55.dds,0,identical
flags/backgrounds/flag_BG_56.dds,0,identical
flags/backgrounds/flag_BG_57.dds,0,identical
flags/backgrounds/flag_BG_6.dds,0,identical
flags/backgrounds/flag_BG_8.dds,0,identical
flags/backgrounds/horizontal.dds,-1,binary-differs
flags/backgrounds/horizontal_stripe.dds,-1,binary-differs
flags/backgrounds/inverted_v.dds,0,identical
flags/backgrounds/new_dawn.dds,0,identical
flags/backgrounds/pattern_01.dds,0,identical
flags/backgrounds/rounded_middle.dds,0,identical
flags/backgrounds/sinus.dds,0,identical
flags/backgrounds/stripe.dds,0,identical
flags/backgrounds/stripes.dds,0,identical
flags/backgrounds/triangle_split.dds,0,identical
flags/backgrounds/v.dds,0,identical
flags/backgrounds/vertical.dds,0,identical
flags/colors.txt,12053,text
sound/category.asset,76,text
sound/soundeffects.asset,295,text
sound/soundgroups.asset,5,text
music/maintheme.asset,2,text
music/maintheme.txt,0,ws-identical
music/maintheme2.asset,2,text
music/maintheme2.txt,6,text
music/maintheme3.asset,2,text
music/maintheme3.txt,3,text
